title,text,subject,date
How new fitness technology can improve life expectancy,BBC technology reporter Lara Lewington tests how new fitness technology can improve our life expectancy.,Innovation,12/1/2024
New dates for school science and technology event,STEMFest will take place at the end of March after it was postponed because of bus driver shortages.,Isle of Man,12/2/2024
RSC to help firms develop new uses for technology,The West Midlands and Merseyside will share a £13.5m government investment in the creative sector.,England,11/27/2024
Schools science and technology event rescheduled,The event which was due to run on 23 and 24 October was pushed back due to transport issues.,Isle of Man,10/23/2024
Face recognition used to identify riot suspects,"Privacy campaign group Big Brother Watch says the technology is ""dangerously unregulated"".",England,11/23/2024
An augmented reality journey into Earth's future,An immersive exhibit at the Natural History Museum allows visitors to experience how the world will look in 2125.,Innovation,12/6/2024
US regulator says AI scanner 'deceived' users after BBC story,"In a proposed settlement, Evolv Technology will be banned from making certain claims about its products.",Technology,11/27/2024
Shop staff get bodycams due to 'daily abuse',"The supermarket chain has brought in the technology after a ""steady increase"" in confrontations.",Lincolnshire,11/26/2024
Five of the world's most innovative countries,The BBC speaks to residents and travellers in some of the top-ranked countries on the 2024 Global Innovation Index to find out how cutting-edge technology benefits day-to-day life.,Travel,12/7/2024
How new fitness technology can improve life expectancy,BBC technology reporter Lara Lewington tests how new fitness technology can improve our life expectancy.,Innovation,12/1/2024
New dates for school science and technology event,STEMFest will take place at the end of March after it was postponed because of bus driver shortages.,Isle of Man,12/2/2024
RSC to help firms develop new uses for technology,The West Midlands and Merseyside will share a £13.5m government investment in the creative sector.,England,11/27/2024
Schools science and technology event rescheduled,The event which was due to run on 23 and 24 October was pushed back due to transport issues.,Isle of Man,10/23/2024
Face recognition used to identify riot suspects,"Privacy campaign group Big Brother Watch says the technology is ""dangerously unregulated"".",England,11/23/2024
An augmented reality journey into Earth's future,An immersive exhibit at the Natural History Museum allows visitors to experience how the world will look in 2125.,Innovation,12/6/2024
US regulator says AI scanner 'deceived' users after BBC story,"In a proposed settlement, Evolv Technology will be banned from making certain claims about its products.",Technology,11/27/2024
Shop staff get bodycams due to 'daily abuse',"The supermarket chain has brought in the technology after a ""steady increase"" in confrontations.",Lincolnshire,11/26/2024
Five of the world's most innovative countries,The BBC speaks to residents and travellers in some of the top-ranked countries on the 2024 Global Innovation Index to find out how cutting-edge technology benefits day-to-day life.,Travel,12/7/2024
Drilling the deepest holes on Earth,Reaching the geothermal energy far beneath our feet will require digging further into the Earth's crust than ever before.,Future,12/4/2024
Animal robots give Gravesend a taste of the future,The Kent town hosted a one-day technology and ideas event across 18 venues.,Kent,11/20/2024
Vodafone boss says prices won't rise after Three 'mega-merger',"The deal, which creates the UK's biggest mobile network, has had to overcome competition concerns.",Technology,12/7/2024
Firms given multi-million pound heat pump funding,Ideal Heating and Gledhill will share £5.2m to increase production of heat pump technology.,England,11/21/2024
Pioneering wireless pacemaker 'a game changer',Doctors in Southampton say a new wireless pacemaker will transform the care of heart patients.,Hampshire & Isle of Wight,12/6/2024
'It's so easy to lie': A fifth of children use fake age on social media,"The regulator finds a fifth of children are pretending to be adults, potentially exposing them to harm.",Technology,11/28/2024
Microsoft faces £1bn class action case in UK over software prices,"It is alleged the tech giant overcharged companies for its Window Server software, used in cloud computing.",Technology,12/5/2024
Canada watchdog sues Google over alleged anti-competitive conduct,"The suit is the latest regulatory headache for Google, which is facing similar action in the US.",US & Canada,11/30/2024
Robot could sniff out profits for farmers,A gamma ray detector is being used to make faster and better soil quality assessments.,England,11/26/2024
"People not AI will make games, PlayStation boss says",The gaming giant's joint CEOs reflect on its past and future as it celebrates its 30th anniversary.,Technology,12/5/2024
GCHQ chief opens £5.8m cyber and digital centre,"Anne Keast-Butler says the new centre can ""nurture the talent"" coming through the education system.",Gloucestershire,12/8/2024
Incinerator future in doubt as investors pull out,"The incinerator is controversial, with a campaign group saying it hopes this ends the saga.",Wales,12/1/2024
Primary school pupils referred to online crime unit,Police are now teaching children as young as nine about the dangers of hacking and online fraud.,Nottingham,11/26/2024
LinkedIn: We're too boring for kids for social media ban,It is one of a number of tech firms pushing back against Australia's plan to ban social media for under-16s.,Technology,11/26/2024
Funding boost for national child health centre,Sheffield's planned National Centre for Child Health Technology is to receive an extra £8.8m.,South Yorkshire,11/18/2024
Newry tech firm to pay £120m to shareholders,FD Technologies has sold a significant part of the business.,Northern Ireland,11/26/2024
Transport bosses 'committed' to iPhone ticket plan,"Nexus says Apple is set to roll-out the technology, long available to Android users, to UK devices.",England,11/23/2024
Mark Zuckerberg dines with Donald Trump at Mar-a-Lago,Relations appear to have improved markedly from Trump's threat earlier this year to throw the Meta boss in jail.,Technology,11/28/2024
Port of Dover was ready for new border checks - chief,"The port is now in an uncertain situation waiting for a new confirmed timeline, he said.",Kent,12/1/2024
Dementia device seeks 100 people for further trials,A start-up firm says its small box can help sufferers retain independence and ease relatives' minds.,England,11/28/2024
Online star Hawk Tuah girl faces crypto coin criticism,"Haliey Welch's ""Hawk"" digital coin shot up in price then lost 95% of its value just hours after it launched.",Technology,12/8/2024
Conservationists turn to AI in battle to save red squirrels,The tech is being used to automatically control the creatures' access to feeders at sites across the UK.,Technology,11/23/2024
Why is vintage audio equipment booming?,"Music lovers are buying up old cassette, CD and record players and getting them fixed.",Technology,12/4/2024
What next for Bitcoin after bursting $100k barrier?,The rapid increase in price has been attributed to Donald Trump's election victory - can it continue?,Technology,12/7/2024
Hospital in world-first cancer tool trial,The scanner allows surgeons to check patients while they are still on the operating table.,Coventry & Warwickshire,12/1/2024
Is there something special about the human voice?,Artificial intelligence-powered speech synthesisers can now hold eerily realistic spoken conversations and clone the voices of others. Can we tell them apart from the human voice?,Future,11/25/2024
Why are doctors wary of wearables?,"Wearable tech claims to help monitor our health, but many doctors remain sceptical.",Business,12/3/2024
Conservationists turn to AI in battle to save red squirrels,The tech is being used to automatically control the creatures' access to feeders at sites across the UK.,Technology,11/23/2024
Why is vintage audio equipment booming?,"Music lovers are buying up old cassette, CD and record players and getting them fixed.",Technology,12/4/2024
Is AI any good at choosing gifts?,"With vast amounts of data do draw on, AI should be able to come up with good gift ideas, but does it?",Technology,12/7/2024
Social media ban for under-16s 'on the table' in UK,"The tech secretary Peter Kyle also said he wanted an ""assertive"" approach from the regulator, Ofcom.",Gloucestershire,11/20/2024
Charity hopes to remove rural 'digital poverty',"Gloucestershire Rural Community Council works with Age UK, social services and local libraries.",Technology,12/7/2024
Top-selling mobile games break rules on loot boxes,Ads for games are meant to say if they contain loot boxes - BBC News has found most do not.,Wear,11/30/2024
The superpowers of coatings make possible the impossible,"Hi-tech coatings make all sorts of high performance engineering, like jet engines, possible.",London,11/22/2024
AI spurs 'revolution' for some visually impaired people,AI services that can describe pictures and scenes are helping the visually impaired.,Liverpool,11/26/2024
